DEMO Traffic Flow Sunday 01 March 2020
Time	TcsNo	Approach	Volume
01/03/2020 08:30	8207	Approach  1 (det:  1-8)	87
01/03/2020 08:35	8207	Approach  1 (det:  1-8)	99
01/03/2020 08:40	8207	Approach  1 (det:  1-8)	92
01/03/2020 08:45	8207	Approach  1 (det:  1-8)	90
01/03/2020 08:50	8207	Approach  1 (det:  1-8)	98
01/03/2020 08:55	8207	Approach  1 (det:  1-8)	94
01/03/2020 09:00	8207	Approach  1 (det:  1-8)	79
01/03/2020 09:05	8207	Approach  1 (det:  1-8)	109
01/03/2020 09:10	8207	Approach  1 (det:  1-8)	99
01/03/2020 09:15	8207	Approach  1 (det:  1-8)	98
01/03/2020 09:20	8207	Approach  1 (det:  1-8)	95
01/03/2020 09:25	8207	Approach  1 (det:  1-8)	91
01/03/2020 09:30	8207	Approach  1 (det:  1-8)	107
01/03/2020 09:35	8207	Approach  1 (det:  1-8)	97
01/03/2020 09:40	8207	Approach  1 (det:  1-8)	113
01/03/2020 09:45	8207	Approach  1 (det:  1-8)	87
01/03/2020 09:50	8207	Approach  1 (det:  1-8)	108
01/03/2020 09:55	8207	Approach  1 (det:  1-8)	79
01/03/2020 10:00	8207	Approach  1 (det:  1-8)	115
01/03/2020 10:05	8207	Approach  1 (det:  1-8)	101
01/03/2020 10:10	8207	Approach  1 (det:  1-8)	107
01/03/2020 10:15	8207	Approach  1 (det:  1-8)	80
01/03/2020 10:20	8207	Approach  1 (det:  1-8)	86
01/03/2020 10:25	8207	Approach  1 (det:  1-8)	119
01/03/2020 10:30	8207	Approach  1 (det:  1-8)	95
01/03/2020 10:35	8207	Approach  1 (det:  1-8)	111
01/03/2020 10:40	8207	Approach  1 (det:  1-8)	92
01/03/2020 10:45	8207	Approach  1 (det:  1-8)	81
01/03/2020 10:50	8207	Approach  1 (det:  1-8)	120
01/03/2020 10:55	8207	Approach  1 (det:  1-8)	102
01/03/2020 11:00	8207	Approach  1 (det:  1-8)	86
01/03/2020 11:05	8207	Approach  1 (det:  1-8)	94
01/03/2020 11:10	8207	Approach  1 (det:  1-8)	110
01/03/2020 11:15	8207	Approach  1 (det:  1-8)	107
01/03/2020 11:20	8207	Approach  1 (det:  1-8)	111
01/03/2020 11:25	8207	Approach  1 (det:  1-8)	80
01/03/2020 11:30	8207	Approach  1 (det:  1-8)	98
01/03/2020 11:35	8207	Approach  1 (det:  1-8)	116
01/03/2020 11:40	8207	Approach  1 (det:  1-8)	107
01/03/2020 11:45	8207	Approach  1 (det:  1-8)	96
01/03/2020 11:50	8207	Approach  1 (det:  1-8)	114
01/03/2020 11:55	8207	Approach  1 (det:  1-8)	91
01/03/2020 12:00	8207	Approach  1 (det:  1-8)	106
01/03/2020 12:05	8207	Approach  1 (det:  1-8)	103
01/03/2020 12:10	8207	Approach  1 (det:  1-8)	92
01/03/2020 12:15	8207	Approach  1 (det:  1-8)	99
01/03/2020 12:20	8207	Approach  1 (det:  1-8)	119
01/03/2020 12:25	8207	Approach  1 (det:  1-8)	98
01/03/2020 12:30	8207	Approach  1 (det:  1-8)	117
01/03/2020 12:35	8207	Approach  1 (det:  1-8)	101
01/03/2020 12:40	8207	Approach  1 (det:  1-8)	104
